fpr,tpr
0.0,0.0
0.002,0.0
0.002,0.002
0.006,0.002
0.006,0.004
0.008,0.004
0.008,0.008
0.012,0.008
0.012,0.01
0.016,0.01
0.016,0.012
0.018,0.012
0.018,0.038
0.02,0.038
0.02,0.042
0.022,0.042
0.022,0.05
0.028,0.05
0.028,0.052
0.03,0.052
0.03,0.062
0.032,0.062
0.032,0.064
0.034,0.064
0.034,0.068
0.036,0.068
0.036,0.08
0.038,0.08
0.038,0.094
0.04,0.094
0.04,0.098
0.046,0.098
0.046,0.1
0.048,0.1
0.048,0.102
0.052,0.102
0.052,0.104
0.058,0.104
0.058,0.106
0.06,0.106
0.06,0.11
0.064,0.11
0.064,0.118
0.066,0.118
0.066,0.128
0.068,0.128
0.068,0.13
0.072,0.13
0.072,0.132
0.076,0.132
0.076,0.134
0.078,0.134
0.078,0.138
0.08,0.138
0.08,0.15
0.086,0.15
0.086,0.154
0.088,0.154
0.088,0.158
0.09,0.158
0.09,0.162
0.092,0.162
0.092,0.164
0.094,0.164
0.094,0.168
0.096,0.168
0.096,0.176
0.098,0.176
0.098,0.182
0.1,0.182
0.1,0.186
0.102,0.186
0.102,0.2
0.104,0.2
0.104,0.21
0.106,0.21
0.106,0.218
0.108,0.218
0.108,0.224
0.11,0.224
0.11,0.228
0.112,0.228
0.112,0.234
0.118,0.234
0.118,0.236
0.12,0.236
0.12,0.24
0.122,0.24
0.122,0.244
0.124,0.244
0.124,0.252
0.126,0.252
0.126,0.256
0.132,0.256
0.132,0.266
0.136,0.266
0.136,0.268
0.138,0.268
0.138,0.27
0.152,0.27
0.152,0.278
0.154,0.278
0.154,0.28
0.158,0.28
0.158,0.284
0.16,0.284
0.16,0.29
0.162,0.29
0.162,0.292
0.164,0.292
0.164,0.294
0.168,0.294
0.168,0.308
0.17,0.308
0.17,0.31
0.174,0.31
0.174,0.334
0.176,0.334
0.176,0.342
0.18,0.342
0.18,0.344
0.186,0.344
0.186,0.35
0.188,0.35
0.188,0.364
0.19,0.364
0.19,0.38
0.192,0.38
0.192,0.384
0.194,0.384
0.194,0.392
0.196,0.392
0.196,0.398
0.198,0.398
0.198,0.402
0.2,0.402
0.2,0.412
0.202,0.412
0.202,0.414
0.204,0.414
0.204,0.416
0.206,0.416
0.206,0.418
0.208,0.418
0.208,0.422
0.21,0.422
0.21,0.426
0.214,0.426
0.214,0.428
0.22,0.428
