fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.092
0.002,0.092
0.002,0.1
0.004,0.1
0.004,0.108
0.006,0.108
0.006,0.122
0.008,0.122
0.008,0.138
0.012,0.138
0.012,0.154
0.014,0.154
0.014,0.162
0.018,0.162
0.018,0.176
0.02,0.176
0.02,0.178
0.022,0.178
0.022,0.18
0.024,0.18
0.024,0.188
0.03,0.188
0.03,0.196
0.032,0.196
0.032,0.198
0.034,0.198
0.034,0.232
0.036,0.232
0.036,0.236
0.04,0.236
0.04,0.238
0.042,0.238
0.042,0.242
0.046,0.242
0.046,0.25
0.048,0.25
0.048,0.262
0.05,0.262
0.05,0.272
0.052,0.272
0.052,0.284
0.054,0.284
0.054,0.286
0.056,0.286
0.056,0.298
0.06,0.298
0.06,0.306
0.062,0.306
0.062,0.324
0.064,0.324
0.064,0.326
0.068,0.326
0.068,0.346
0.07,0.346
0.07,0.348
0.072,0.348
0.072,0.35
0.074,0.35
0.074,0.368
0.078,0.368
0.078,0.384
0.08,0.384
0.08,0.388
0.082,0.388
0.082,0.394
0.086,0.394
0.086,0.396
0.088,0.396
0.088,0.4
0.09,0.4
0.09,0.404
0.094,0.404
0.094,0.406
0.098,0.406
0.098,0.422
0.1,0.422
0.1,0.452
0.102,0.452
0.102,0.456
0.104,0.456
0.104,0.468
0.106,0.468
0.106,0.47
0.11,0.47
0.11,0.484
0.114,0.484
0.114,0.486
0.116,0.486
0.116,0.504
0.118,0.504
0.118,0.512
0.12,0.512
0.12,0.514
0.124,0.514
0.124,0.516
0.128,0.516
0.128,0.518
0.13,0.518
0.13,0.524
0.132,0.524
0.132,0.53
0.134,0.53
0.134,0.534
0.136,0.534
0.136,0.536
0.138,0.536
0.138,0.544
0.14,0.544
0.14,0.554
0.142,0.554
0.142,0.562
0.144,0.562
0.144,0.568
0.146,0.568
0.146,0.572
0.148,0.572
0.148,0.574
0.152,0.574
0.152,0.58
0.154,0.58
0.154,0.592
0.156,0.592
0.156,0.6
0.162,0.6
0.162,0.61
0.168,0.61
0.168,0.614
0.17,0.614
0.17,0.62
0.178,0.62
0.178,0.624
0.18,0.624
0.18,0.626
0.184,0.626
0.184,0.648
0.188,0.648
0.188,0.652
0.194,0.652
0.194,0.656
0.198,0.656
0.198,0.664
0.2,0.664
0.2,0.668
0.202,0.668
0.202,0.67
0.204,0.67
0.204,0.676
0.21,0.676
0.21,0.69
0.216,0.69
0.216,0.692
0.22,0.692
0.22,0.702
0.222,0.702
0.222,0.706
0.232,0.706
0.232,0.708
0.234,0.708
0.234,0.712
0.236,0.712
0.236,0.714
0.238,0.714
0.238,0.726
0.24,0.726
0.24,0.728
0.242,0.728
0.242,0.73
0.248,0.73
0.248,0.736
0.25,0.736
0.25,0.748
0.252,0.748
0.252,0.75
0.256,0.75
0.256,0.76
0.258,0.76
0.258,0.762
0.26,0.762
0.26,0.766
0.264,0.766
0.264,0.768
0.27,0.768
0.27,0.772
0.272,0.772
0.272,0.778
0.274,0.778
0.274,0.792
0.278,0.792
0.278,0.796
0.28,0.796
0.28,0.798
0.286,0.798
0.286,0.8
0.304,0.8
0.304,0.806
0.306,0.806
0.306,0.812
0.308,0.812
0.308,0.816
0.31,0.816
0.31,0.824
0.314,0.824
0.314,0.826
0.316,0.826
0.316,0.83
0.324,0.83
0.324,0.834
0.326,0.834
0.326,0.838
0.332,0.838
0.332,0.842
0.35,0.842
0.35,0.844
0.352,0.844
0.352,0.858
0.36,0.858
0.36,0.862
0.378,0.862
0.378,0.864
0.384,0.864
0.384,0.868
0.39,0.868
0.39,0.87
0.41,0.87
0.41,0.872
0.414,0.872
0.414,0.876
0.43,0.876
0.43,0.88
0.436,0.88
0.436,0.882
0.44,0.882
0.44,0.884
0.442,0.884
0.442,0.886
0.448,0.886
0.448,0.896
0.45,0.896
0.45,0.898
0.458,0.898
0.458,0.906
0.464,0.906
0.464,0.912
0.47,0.912
0.47,0.914
0.478,0.914
0.478,0.916
0.48,0.916
0.48,0.918
0.484,0.918
0.484,0.924
0.486,0.924
0.486,0.926
0.504,0.926
0.504,0.93
0.506,0.93
0.506,0.934
0.516,0.934
0.516,0.936
0.518,0.936
0.518,0.938
0.53,0.938
0.53,0.94
0.536,0.94
0.536,0.942
0.544,0.942
0.544,0.944
0.568,0.944
0.568,0.946
0.576,0.946
0.576,0.954
0.58,0.954
0.58,0.956
0.604,0.956
0.604,0.958
0.61,0.958
0.61,0.96
0.612,0.96
0.612,0.962
0.618,0.962
0.618,0.964
0.622,0.964
0.622,0.966
0.64,0.966
0.64,0.968
0.654,0.968
0.654,0.97
0.658,0.97
0.658,0.972
0.7,0.972
0.7,0.974
0.704,0.974
0.704,0.976
0.718,0.976
0.718,0.978
0.75,0.978
0.75,0.984
0.752,0.984
0.752,0.986
0.774,0.986
0.774,0.988
0.818,0.988
0.818,0.99
0.838,0.99
0.838,0.992
0.856,0.992
0.856,0.994
0.86,0.994
0.86,0.996
0.924,0.996
0.924,0.998
0.98,0.998
0.98,1.0
1.0,1.0
