fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.038
0.002,0.038
0.002,0.1
0.004,0.1
0.004,0.116
0.006,0.116
0.006,0.184
0.008,0.184
0.008,0.22
0.01,0.22
0.01,0.23
0.012,0.23
0.012,0.272
0.014,0.272
0.014,0.276
0.016,0.276
0.016,0.28
0.018,0.28
0.018,0.284
0.02,0.284
0.02,0.354
0.022,0.354
0.022,0.36
0.024,0.36
0.024,0.362
0.026,0.362
0.026,0.38
0.03,0.38
0.03,0.398
0.032,0.398
0.032,0.41
0.034,0.41
0.034,0.43
0.038,0.43
0.038,0.434
0.04,0.434
0.04,0.446
0.044,0.446
0.044,0.45
0.046,0.45
0.046,0.474
0.048,0.474
0.048,0.494
0.05,0.494
0.05,0.504
0.052,0.504
0.052,0.506
0.054,0.506
0.054,0.508
0.058,0.508
0.058,0.512
0.06,0.512
0.06,0.518
0.062,0.518
0.062,0.52
0.066,0.52
0.066,0.522
0.068,0.522
0.068,0.524
0.07,0.524
0.07,0.528
0.074,0.528
0.074,0.53
0.078,0.53
0.078,0.536
0.082,0.536
0.082,0.542
0.084,0.542
0.084,0.558
0.09,0.558
0.09,0.566
0.096,0.566
0.096,0.568
0.098,0.568
0.098,0.576
0.102,0.576
0.102,0.58
0.104,0.58
0.104,0.582
0.106,0.582
0.106,0.586
0.108,0.586
0.108,0.596
0.11,0.596
0.11,0.61
0.114,0.61
0.114,0.618
0.116,0.618
0.116,0.624
0.118,0.624
0.118,0.642
0.12,0.642
0.12,0.65
0.122,0.65
0.122,0.652
0.126,0.652
0.126,0.662
0.128,0.662
0.128,0.67
0.134,0.67
0.134,0.672
0.136,0.672
0.136,0.674
0.138,0.674
0.138,0.694
0.142,0.694
0.142,0.7
0.144,0.7
0.144,0.702
0.146,0.702
0.146,0.704
0.148,0.704
0.148,0.71
0.152,0.71
0.152,0.714
0.156,0.714
0.156,0.72
0.158,0.72
0.158,0.738
0.16,0.738
0.16,0.74
0.162,0.74
0.162,0.752
0.166,0.752
0.166,0.756
0.17,0.756
0.17,0.758
0.172,0.758
0.172,0.76
0.176,0.76
0.176,0.772
0.18,0.772
0.18,0.778
0.182,0.778
0.182,0.78
0.188,0.78
0.188,0.784
0.192,0.784
0.192,0.786
0.194,0.786
0.194,0.79
0.196,0.79
0.196,0.794
0.2,0.794
0.2,0.796
0.206,0.796
0.206,0.798
0.208,0.798
0.208,0.804
0.21,0.804
0.21,0.81
0.224,0.81
0.224,0.812
0.226,0.812
0.226,0.814
0.232,0.814
0.232,0.822
0.236,0.822
0.236,0.824
0.242,0.824
0.242,0.826
0.25,0.826
0.25,0.828
0.252,0.828
0.252,0.832
0.258,0.832
0.258,0.838
0.27,0.838
0.27,0.844
0.272,0.844
0.272,0.846
0.274,0.846
0.274,0.848
0.276,0.848
0.276,0.854
0.278,0.854
0.278,0.86
0.284,0.86
0.284,0.862
0.29,0.862
0.29,0.866
0.292,0.866
0.292,0.87
0.294,0.87
0.294,0.872
0.298,0.872
0.298,0.874
0.3,0.874
0.3,0.88
0.302,0.88
0.302,0.884
0.31,0.884
0.31,0.888
0.312,0.888
0.312,0.89
0.314,0.89
0.314,0.892
0.32,0.892
0.32,0.896
0.322,0.896
0.322,0.9
0.326,0.9
0.326,0.902
0.328,0.902
0.328,0.904
0.33,0.904
0.33,0.906
0.332,0.906
0.332,0.912
0.336,0.912
0.336,0.918
0.342,0.918
0.342,0.928
0.366,0.928
0.366,0.93
0.39,0.93
0.39,0.932
0.394,0.932
0.394,0.934
0.398,0.934
0.398,0.936
0.418,0.936
0.418,0.94
0.42,0.94
0.42,0.942
0.434,0.942
0.434,0.944
0.436,0.944
0.436,0.946
0.448,0.946
0.448,0.948
0.464,0.948
0.464,0.952
0.466,0.952
0.466,0.954
0.48,0.954
0.48,0.956
0.482,0.956
0.482,0.96
0.512,0.96
0.512,0.962
0.536,0.962
0.536,0.964
0.558,0.964
0.558,0.966
0.574,0.966
0.574,0.968
0.582,0.968
0.582,0.97
0.592,0.97
0.592,0.972
0.596,0.972
0.596,0.976
0.598,0.976
0.598,0.978
0.628,0.978
0.628,0.98
0.644,0.98
0.644,0.982
0.656,0.982
0.656,0.984
0.672,0.984
0.672,0.986
0.704,0.986
0.704,0.988
0.708,0.988
0.708,0.99
0.72,0.99
0.72,0.992
0.724,0.992
0.724,0.994
0.73,0.994
0.73,0.996
0.79,0.996
0.79,0.998
0.808,0.998
0.808,1.0
1.0,1.0
