fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.124
0.002,0.124
0.002,0.17
0.004,0.17
0.004,0.296
0.006,0.296
0.006,0.366
0.008,0.366
0.008,0.386
0.01,0.386
0.01,0.404
0.012,0.404
0.012,0.434
0.014,0.434
0.014,0.452
0.016,0.452
0.016,0.454
0.018,0.454
0.018,0.484
0.02,0.484
0.02,0.524
0.022,0.524
0.022,0.55
0.024,0.55
0.024,0.552
0.026,0.552
0.026,0.556
0.028,0.556
0.028,0.558
0.036,0.558
0.036,0.576
0.038,0.576
0.038,0.58
0.042,0.58
0.042,0.586
0.048,0.586
0.048,0.588
0.05,0.588
0.05,0.592
0.052,0.592
0.052,0.6
0.054,0.6
0.054,0.608
0.058,0.608
0.058,0.614
0.06,0.614
0.06,0.618
0.062,0.618
0.062,0.622
0.066,0.622
0.066,0.624
0.068,0.624
0.068,0.626
0.07,0.626
0.07,0.63
0.072,0.63
0.072,0.632
0.074,0.632
0.074,0.638
0.076,0.638
0.076,0.64
0.078,0.64
0.078,0.654
0.08,0.654
0.08,0.656
0.082,0.656
0.082,0.658
0.084,0.658
0.084,0.676
0.086,0.676
0.086,0.678
0.092,0.678
0.092,0.686
0.094,0.686
0.094,0.69
0.096,0.69
0.096,0.698
0.098,0.698
0.098,0.7
0.1,0.7
0.1,0.716
0.102,0.716
0.102,0.72
0.104,0.72
0.104,0.722
0.108,0.722
0.108,0.724
0.11,0.724
0.11,0.726
0.116,0.726
0.116,0.732
0.118,0.732
0.118,0.74
0.12,0.74
0.12,0.742
0.122,0.742
0.122,0.744
0.132,0.744
0.132,0.746
0.134,0.746
0.134,0.75
0.138,0.75
0.138,0.758
0.146,0.758
0.146,0.77
0.156,0.77
0.156,0.776
0.158,0.776
0.158,0.78
0.162,0.78
0.162,0.782
0.164,0.782
0.164,0.786
0.17,0.786
0.17,0.788
0.174,0.788
0.174,0.796
0.176,0.796
0.176,0.802
0.188,0.802
0.188,0.804
0.192,0.804
0.192,0.806
0.204,0.806
0.204,0.812
0.206,0.812
0.206,0.824
0.208,0.824
0.208,0.826
0.212,0.826
0.212,0.83
0.214,0.83
0.214,0.832
0.222,0.832
0.222,0.834
0.226,0.834
0.226,0.842
0.23,0.842
0.23,0.846
0.234,0.846
0.234,0.85
0.236,0.85
0.236,0.854
0.24,0.854
0.24,0.858
0.244,0.858
0.244,0.864
0.246,0.864
0.246,0.868
0.248,0.868
0.248,0.874
0.252,0.874
0.252,0.876
0.262,0.876
0.262,0.878
0.274,0.878
0.274,0.88
0.278,0.88
0.278,0.884
0.284,0.884
0.284,0.886
0.292,0.886
0.292,0.888
0.294,0.888
0.294,0.89
0.298,0.89
0.298,0.894
0.306,0.894
0.306,0.896
0.308,0.896
0.308,0.898
0.31,0.898
0.31,0.904
0.314,0.904
0.314,0.906
0.316,0.906
0.316,0.91
0.324,0.91
0.324,0.914
0.328,0.914
0.328,0.916
0.338,0.916
0.338,0.918
0.34,0.918
0.34,0.92
0.342,0.92
0.342,0.922
0.344,0.922
0.344,0.924
0.346,0.924
0.346,0.926
0.356,0.926
0.356,0.928
0.36,0.928
0.36,0.932
0.362,0.932
0.362,0.934
0.364,0.934
0.364,0.936
0.378,0.936
0.378,0.938
0.382,0.938
0.382,0.94
0.39,0.94
0.39,0.942
0.41,0.942
0.41,0.946
0.412,0.946
0.412,0.948
0.436,0.948
0.436,0.95
0.484,0.95
0.484,0.952
0.514,0.952
0.514,0.954
0.516,0.954
0.516,0.958
0.528,0.958
0.528,0.96
0.53,0.96
0.53,0.962
0.538,0.962
0.538,0.966
0.554,0.966
0.554,0.968
0.578,0.968
0.578,0.97
0.592,0.97
0.592,0.972
0.624,0.972
0.624,0.974
0.666,0.974
0.666,0.976
0.674,0.976
0.674,0.978
0.686,0.978
0.686,0.98
0.72,0.98
0.72,0.982
0.738,0.982
0.738,0.984
0.762,0.984
0.762,0.986
0.772,0.986
0.772,0.988
0.788,0.988
0.788,0.99
0.816,0.99
0.816,0.992
0.824,0.992
0.824,0.994
0.838,0.994
0.838,0.996
0.88,0.996
0.88,1.0
1.0,1.0
