fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.09
0.002,0.09
0.002,0.18
0.006,0.18
0.006,0.226
0.008,0.226
0.008,0.246
0.01,0.246
0.01,0.27
0.012,0.27
0.012,0.274
0.014,0.274
0.014,0.278
0.016,0.278
0.016,0.292
0.018,0.292
0.018,0.336
0.02,0.336
0.02,0.35
0.022,0.35
0.022,0.354
0.024,0.354
0.024,0.36
0.026,0.36
0.026,0.364
0.028,0.364
0.028,0.386
0.03,0.386
0.03,0.4
0.034,0.4
0.034,0.404
0.036,0.404
0.036,0.42
0.038,0.42
0.038,0.448
0.04,0.448
0.04,0.456
0.042,0.456
0.042,0.462
0.044,0.462
0.044,0.466
0.046,0.466
0.046,0.474
0.048,0.474
0.048,0.48
0.052,0.48
0.052,0.488
0.054,0.488
0.054,0.5
0.056,0.5
0.056,0.504
0.058,0.504
0.058,0.524
0.06,0.524
0.06,0.538
0.062,0.538
0.062,0.54
0.064,0.54
0.064,0.558
0.066,0.558
0.066,0.568
0.07,0.568
0.07,0.574
0.072,0.574
0.072,0.596
0.074,0.596
0.074,0.598
0.078,0.598
0.078,0.612
0.08,0.612
0.08,0.616
0.082,0.616
0.082,0.618
0.086,0.618
0.086,0.622
0.09,0.622
0.09,0.632
0.092,0.632
0.092,0.634
0.094,0.634
0.094,0.636
0.096,0.636
0.096,0.654
0.098,0.654
0.098,0.676
0.102,0.676
0.102,0.678
0.104,0.678
0.104,0.68
0.106,0.68
0.106,0.69
0.108,0.69
0.108,0.692
0.11,0.692
0.11,0.702
0.114,0.702
0.114,0.71
0.116,0.71
0.116,0.734
0.118,0.734
0.118,0.736
0.122,0.736
0.122,0.76
0.124,0.76
0.124,0.762
0.126,0.762
0.126,0.764
0.13,0.764
0.13,0.766
0.132,0.766
0.132,0.768
0.136,0.768
0.136,0.77
0.138,0.77
0.138,0.774
0.14,0.774
0.14,0.78
0.142,0.78
0.142,0.794
0.144,0.794
0.144,0.796
0.148,0.796
0.148,0.806
0.152,0.806
0.152,0.808
0.154,0.808
0.154,0.812
0.156,0.812
0.156,0.814
0.158,0.814
0.158,0.818
0.164,0.818
0.164,0.824
0.166,0.824
0.166,0.828
0.17,0.828
0.17,0.832
0.172,0.832
0.172,0.834
0.178,0.834
0.178,0.84
0.18,0.84
0.18,0.842
0.19,0.842
0.19,0.844
0.196,0.844
0.196,0.854
0.202,0.854
0.202,0.858
0.204,0.858
0.204,0.866
0.21,0.866
0.21,0.87
0.212,0.87
0.212,0.874
0.216,0.874
0.216,0.876
0.22,0.876
0.22,0.878
0.222,0.878
0.222,0.882
0.224,0.882
0.224,0.886
0.226,0.886
0.226,0.888
0.232,0.888
0.232,0.89
0.234,0.89
0.234,0.9
0.242,0.9
0.242,0.904
0.244,0.904
0.244,0.91
0.246,0.91
0.246,0.912
0.248,0.912
0.248,0.914
0.25,0.914
0.25,0.924
0.268,0.924
0.268,0.926
0.276,0.926
0.276,0.928
0.28,0.928
0.28,0.93
0.296,0.93
0.296,0.932
0.3,0.932
0.3,0.934
0.304,0.934
0.304,0.936
0.306,0.936
0.306,0.938
0.318,0.938
0.318,0.94
0.324,0.94
0.324,0.942
0.328,0.942
0.328,0.944
0.33,0.944
0.33,0.946
0.332,0.946
0.332,0.948
0.346,0.948
0.346,0.952
0.352,0.952
0.352,0.954
0.356,0.954
0.356,0.958
0.364,0.958
0.364,0.96
0.37,0.96
0.37,0.962
0.372,0.962
0.372,0.964
0.38,0.964
0.38,0.966
0.384,0.966
0.384,0.968
0.434,0.968
0.434,0.97
0.494,0.97
0.494,0.972
0.512,0.972
0.512,0.974
0.57,0.974
0.57,0.976
0.58,0.976
0.58,0.978
0.63,0.978
0.63,0.98
0.642,0.98
0.642,0.982
0.67,0.982
0.67,0.986
0.694,0.986
0.694,0.988
0.696,0.988
0.696,0.99
0.72,0.99
0.72,0.992
0.756,0.992
0.756,0.994
0.764,0.994
0.764,0.996
0.772,0.996
0.772,0.998
0.88,0.998
0.88,1.0
1.0,1.0
