fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.006
0.002,0.006
0.002,0.062
0.006,0.062
0.006,0.072
0.008,0.072
0.008,0.1
0.01,0.1
0.01,0.166
0.012,0.166
0.012,0.182
0.014,0.182
0.014,0.184
0.018,0.184
0.018,0.212
0.02,0.212
0.02,0.246
0.022,0.246
0.022,0.254
0.024,0.254
0.024,0.262
0.028,0.262
0.028,0.268
0.03,0.268
0.03,0.304
0.036,0.304
0.036,0.32
0.038,0.32
0.038,0.346
0.042,0.346
0.042,0.356
0.044,0.356
0.044,0.37
0.046,0.37
0.046,0.38
0.052,0.38
0.052,0.382
0.056,0.382
0.056,0.384
0.06,0.384
0.06,0.386
0.062,0.386
0.062,0.396
0.064,0.396
0.064,0.404
0.066,0.404
0.066,0.408
0.068,0.408
0.068,0.42
0.07,0.42
0.07,0.432
0.072,0.432
0.072,0.444
0.076,0.444
0.076,0.454
0.08,0.454
0.08,0.456
0.082,0.456
0.082,0.47
0.084,0.47
0.084,0.474
0.088,0.474
0.088,0.492
0.09,0.492
0.09,0.504
0.092,0.504
0.092,0.51
0.094,0.51
0.094,0.514
0.096,0.514
0.096,0.516
0.098,0.516
0.098,0.534
0.1,0.534
0.1,0.554
0.102,0.554
0.102,0.564
0.104,0.564
0.104,0.572
0.112,0.572
0.112,0.586
0.114,0.586
0.114,0.592
0.118,0.592
0.118,0.596
0.12,0.596
0.12,0.6
0.122,0.6
0.122,0.61
0.124,0.61
0.124,0.612
0.128,0.612
0.128,0.618
0.132,0.618
0.132,0.624
0.134,0.624
0.134,0.63
0.136,0.63
0.136,0.632
0.14,0.632
0.14,0.634
0.142,0.634
0.142,0.636
0.144,0.636
0.144,0.656
0.146,0.656
0.146,0.66
0.15,0.66
0.15,0.664
0.152,0.664
0.152,0.674
0.154,0.674
0.154,0.678
0.156,0.678
0.156,0.68
0.158,0.68
0.158,0.684
0.162,0.684
0.162,0.69
0.164,0.69
0.164,0.692
0.166,0.692
0.166,0.696
0.17,0.696
0.17,0.7
0.176,0.7
0.176,0.704
0.178,0.704
0.178,0.706
0.184,0.706
0.184,0.712
0.186,0.712
0.186,0.716
0.188,0.716
0.188,0.722
0.192,0.722
0.192,0.732
0.194,0.732
0.194,0.738
0.2,0.738
0.2,0.74
0.202,0.74
0.202,0.742
0.208,0.742
0.208,0.746
0.21,0.746
0.21,0.748
0.214,0.748
0.214,0.752
0.222,0.752
0.222,0.754
0.226,0.754
0.226,0.756
0.228,0.756
0.228,0.758
0.23,0.758
0.23,0.76
0.232,0.76
0.232,0.764
0.234,0.764
0.234,0.77
0.24,0.77
0.24,0.774
0.242,0.774
0.242,0.776
0.244,0.776
0.244,0.788
0.248,0.788
0.248,0.79
0.25,0.79
0.25,0.796
0.26,0.796
0.26,0.798
0.27,0.798
0.27,0.8
0.272,0.8
0.272,0.802
0.274,0.802
0.274,0.804
0.28,0.804
0.28,0.808
0.284,0.808
0.284,0.81
0.29,0.81
0.29,0.812
0.292,0.812
0.292,0.814
0.296,0.814
0.296,0.824
0.304,0.824
0.304,0.826
0.312,0.826
0.312,0.828
0.314,0.828
0.314,0.84
0.328,0.84
0.328,0.842
0.33,0.842
0.33,0.844
0.332,0.844
0.332,0.848
0.334,0.848
0.334,0.85
0.336,0.85
0.336,0.854
0.338,0.854
0.338,0.856
0.346,0.856
0.346,0.86
0.348,0.86
0.348,0.862
0.35,0.862
0.35,0.864
0.358,0.864
0.358,0.868
0.36,0.868
0.36,0.874
0.362,0.874
0.362,0.88
0.376,0.88
0.376,0.886
0.382,0.886
0.382,0.888
0.394,0.888
0.394,0.89
0.398,0.89
0.398,0.892
0.404,0.892
0.404,0.894
0.406,0.894
0.406,0.9
0.412,0.9
0.412,0.902
0.414,0.902
0.414,0.904
0.428,0.904
0.428,0.906
0.432,0.906
0.432,0.91
0.44,0.91
0.44,0.912
0.446,0.912
0.446,0.916
0.458,0.916
0.458,0.918
0.464,0.918
0.464,0.92
0.474,0.92
0.474,0.922
0.478,0.922
0.478,0.924
0.49,0.924
0.49,0.928
0.498,0.928
0.498,0.93
0.508,0.93
0.508,0.932
0.518,0.932
0.518,0.934
0.536,0.934
0.536,0.936
0.544,0.936
0.544,0.94
0.546,0.94
0.546,0.942
0.568,0.942
0.568,0.944
0.574,0.944
0.574,0.946
0.576,0.946
0.576,0.95
0.588,0.95
0.588,0.952
0.6,0.952
0.6,0.954
0.602,0.954
0.602,0.956
0.62,0.956
0.62,0.96
0.63,0.96
0.63,0.962
0.64,0.962
0.64,0.964
0.646,0.964
0.646,0.966
0.664,0.966
0.664,0.968
0.668,0.968
0.668,0.972
0.678,0.972
0.678,0.974
0.698,0.974
0.698,0.976
0.71,0.976
0.71,0.98
0.758,0.98
0.758,0.982
0.776,0.982
0.776,0.984
0.796,0.984
0.796,0.986
0.82,0.986
0.82,0.988
0.85,0.988
0.85,0.99
0.864,0.99
0.864,0.992
0.868,0.992
0.868,0.994
0.912,0.994
0.912,0.996
0.94,0.996
0.94,0.998
0.942,0.998
0.942,1.0
1.0,1.0
