fpr,tpr
0.0,0.0
0.0,0.002
0.0,0.038
0.002,0.038
0.002,0.094
0.004,0.094
0.004,0.122
0.006,0.122
0.006,0.124
0.008,0.124
0.008,0.14
0.01,0.14
0.01,0.162
0.012,0.162
0.012,0.166
0.014,0.166
0.014,0.182
0.016,0.182
0.016,0.188
0.018,0.188
0.018,0.204
0.02,0.204
0.02,0.216
0.024,0.216
0.024,0.224
0.026,0.224
0.026,0.23
0.028,0.23
0.028,0.242
0.032,0.242
0.032,0.262
0.036,0.262
0.036,0.27
0.04,0.27
0.04,0.28
0.044,0.28
0.044,0.282
0.048,0.282
0.048,0.296
0.05,0.296
0.05,0.298
0.052,0.298
0.052,0.304
0.054,0.304
0.054,0.31
0.058,0.31
0.058,0.314
0.06,0.314
0.06,0.316
0.066,0.316
0.066,0.318
0.068,0.318
0.068,0.33
0.07,0.33
0.07,0.336
0.072,0.336
0.072,0.356
0.074,0.356
0.074,0.388
0.076,0.388
0.076,0.392
0.078,0.392
0.078,0.396
0.08,0.396
0.08,0.398
0.082,0.398
0.082,0.404
0.084,0.404
0.084,0.418
0.086,0.418
0.086,0.422
0.088,0.422
0.088,0.424
0.09,0.424
0.09,0.426
0.094,0.426
0.094,0.43
0.096,0.43
0.096,0.432
0.1,0.432
0.1,0.436
0.102,0.436
0.102,0.438
0.112,0.438
0.112,0.442
0.116,0.442
0.116,0.458
0.118,0.458
0.118,0.462
0.12,0.462
0.12,0.468
0.122,0.468
0.122,0.47
0.126,0.47
0.126,0.474
0.132,0.474
0.132,0.478
0.134,0.478
0.134,0.48
0.136,0.48
0.136,0.492
0.142,0.492
0.142,0.496
0.144,0.496
0.144,0.498
0.146,0.498
0.146,0.504
0.148,0.504
0.148,0.506
0.152,0.506
0.152,0.508
0.156,0.508
0.156,0.516
0.162,0.516
0.162,0.518
0.166,0.518
0.166,0.522
0.168,0.522
0.168,0.524
0.172,0.524
0.172,0.526
0.174,0.526
0.174,0.528
0.178,0.528
0.178,0.53
0.184,0.53
0.184,0.532
0.188,0.532
0.188,0.546
0.192,0.546
0.192,0.558
0.196,0.558
0.196,0.56
0.198,0.56
0.198,0.564
0.2,0.564
0.2,0.568
0.202,0.568
0.202,0.574
0.204,0.574
0.204,0.58
0.206,0.58
0.206,0.588
0.208,0.588
0.208,0.59
0.212,0.59
0.212,0.606
0.216,0.606
0.216,0.608
0.218,0.608
0.218,0.612
0.22,0.612
0.22,0.614
0.222,0.614
0.222,0.62
0.226,0.62
0.226,0.624
0.23,0.624
0.23,0.626
0.238,0.626
0.238,0.63
0.24,0.63
0.24,0.634
0.244,0.634
0.244,0.642
0.256,0.642
0.256,0.646
0.26,0.646
0.26,0.65
0.262,0.65
0.262,0.662
0.266,0.662
0.266,0.664
0.272,0.664
0.272,0.67
0.276,0.67
0.276,0.672
0.28,0.672
0.28,0.674
0.282,0.674
0.282,0.682
0.284,0.682
0.284,0.69
0.29,0.69
0.29,0.692
0.292,0.692
0.292,0.694
0.294,0.694
0.294,0.698
0.298,0.698
0.298,0.704
0.3,0.704
0.3,0.706
0.308,0.706
0.308,0.708
0.31,0.708
0.31,0.712
0.314,0.712
0.314,0.714
0.316,0.714
0.316,0.718
0.318,0.718
0.318,0.72
0.326,0.72
0.326,0.724
0.332,0.724
0.332,0.726
0.336,0.726
0.336,0.728
0.338,0.728
0.338,0.73
0.34,0.73
0.34,0.732
0.342,0.732
0.342,0.734
0.35,0.734
0.35,0.736
0.356,0.736
0.356,0.74
0.358,0.74
0.358,0.742
0.362,0.742
0.362,0.748
0.364,0.748
0.364,0.75
0.368,0.75
0.368,0.756
0.376,0.756
0.376,0.772
0.382,0.772
0.382,0.774
0.384,0.774
0.384,0.782
0.386,0.782
0.386,0.786
0.388,0.786
0.388,0.798
0.392,0.798
0.392,0.8
0.414,0.8
0.414,0.802
0.416,0.802
0.416,0.804
0.426,0.804
0.426,0.806
0.428,0.806
0.428,0.808
0.432,0.808
0.432,0.81
0.434,0.81
0.434,0.814
0.438,0.814
0.438,0.816
0.442,0.816
0.442,0.818
0.446,0.818
0.446,0.82
0.458,0.82
0.458,0.824
0.462,0.824
0.462,0.826
0.468,0.826
0.468,0.828
0.472,0.828
0.472,0.832
0.478,0.832
0.478,0.836
0.484,0.836
0.484,0.84
0.486,0.84
0.486,0.842
0.488,0.842
0.488,0.848
0.494,0.848
0.494,0.85
0.496,0.85
0.496,0.852
0.5,0.852
0.5,0.854
0.502,0.854
0.502,0.856
0.504,0.856
0.504,0.862
0.514,0.862
0.514,0.874
0.516,0.874
0.516,0.876
0.518,0.876
0.518,0.878
0.52,0.878
0.52,0.882
0.524,0.882
0.524,0.884
0.528,0.884
0.528,0.886
0.532,0.886
0.532,0.888
0.54,0.888
0.54,0.89
0.55,0.89
0.55,0.892
0.554,0.892
0.554,0.894
0.562,0.894
0.562,0.896
0.568,0.896
0.568,0.9
0.574,0.9
0.574,0.902
0.582,0.902
0.582,0.904
0.59,0.904
0.59,0.906
0.602,0.906
0.602,0.908
0.608,0.908
0.608,0.91
0.614,0.91
0.614,0.914
0.616,0.914
0.616,0.916
0.634,0.916
0.634,0.92
0.646,0.92
0.646,0.922
0.65,0.922
0.65,0.926
0.66,0.926
0.66,0.928
0.662,0.928
0.662,0.93
0.668,0.93
0.668,0.932
0.672,0.932
0.672,0.934
0.688,0.934
0.688,0.936
0.704,0.936
0.704,0.938
0.712,0.938
0.712,0.94
0.714,0.94
0.714,0.942
0.75,0.942
0.75,0.946
0.756,0.946
0.756,0.948
0.76,0.948
0.76,0.954
0.772,0.954
0.772,0.956
0.792,0.956
0.792,0.958
0.794,0.958
0.794,0.96
0.802,0.96
0.802,0.966
0.814,0.966
0.814,0.97
0.816,0.97
0.816,0.972
0.818,0.972
0.818,0.976
0.822,0.976
0.822,0.978
0.824,0.978
0.824,0.98
0.832,0.98
0.832,0.982
0.84,0.982
0.84,0.984
0.846,0.984
0.846,0.986
0.852,0.986
0.852,0.988
0.886,0.988
0.886,0.99
0.894,0.99
0.894,0.992
0.902,0.992
0.902,0.994
0.904,0.994
0.904,0.996
0.924,0.996
0.924,0.998
0.994,0.998
0.994,1.0
1.0,1.0
